Sentence,Emoji
I am feeling happy today,😊
I miss my family,😢
I am so angry right now,😡
Tears in my eyes from laughing,😂
I am shocked by this news,😱
Life is amazing,😊
I am feeling sad right now,😢
Why did this happen?,😡
That was so funny,😂
I am shocked by this news,😱
Life is amazing,😊
I miss my family,😢
I am losing my patience,😡
LOL that’s hilarious,😂
What just happened?,😱
Feeling grateful for everything,😊
Life feels so hard,😢
I am so angry right now,😡
LOL that’s hilarious,😂
This is unbelievable,😱
I am feeling happy today,😊
I am feeling sad right now,😢
I can't believe this mistake,😡
I can't stop laughing,😂
I am shocked by this news,😱
Life is amazing,😊
Life feels so hard,😢
I can't believe this mistake,😡
This joke made my day,😂
What just happened?,😱
I am feeling happy today,😊
This day is not going well,😢
This is so frustrating,😡
Tears in my eyes from laughing,😂
I did not expect that,😱
Life is amazing,😊
This day is not going well,😢
I am so angry right now,😡
This joke made my day,😂
I did not expect that,😱
Feeling grateful for everything,😊
I am feeling sad right now,😢
I am losing my patience,😡
Tears in my eyes from laughing,😂
I did not expect that,😱
This is such a beautiful day,😊
I am heartbroken,😢
I am so angry right now,😡
I can't stop laughing,😂
That scared me,😱
Life is amazing,😊
Life feels so hard,😢
This is so frustrating,😡
This joke made my day,😂
What just happened?,😱
This is such a beautiful day,😊
I am heartbroken,😢
I can't believe this mistake,😡
LOL that’s hilarious,😂
I did not expect that,😱
I am feeling happy today,😊
Life feels so hard,😢
I am so angry right now,😡
LOL that’s hilarious,😂
I did not expect that,😱
I love spending time with my friends,😊
This day is not going well,😢
This is so frustrating,😡
LOL that’s hilarious,😂
I am shocked by this news,😱
Life is amazing,😊
I miss my family,😢
I am losing my patience,😡
Tears in my eyes from laughing,😂
What just happened?,😱
This is such a beautiful day,😊
I am feeling sad right now,😢
This is so frustrating,😡
Tears in my eyes from laughing,😂
What just happened?,😱
Feeling grateful for everything,😊
I miss my family,😢
Why did this happen?,😡
I can't stop laughing,😂
What just happened?,😱
Feeling grateful for everything,😊
I miss my family,😢
I am losing my patience,😡
Tears in my eyes from laughing,😂
What just happened?,😱
I am feeling happy today,😊
Life feels so hard,😢
I am losing my patience,😡
Tears in my eyes from laughing,😂
What just happened?,😱
I am feeling happy today,😊
This day is not going well,😢
I am so angry right now,😡
This joke made my day,😂
I am shocked by this news,😱
